"","study","germplasm","grain_yield_bu_ac","test_weight_lb_bu","heading_time_jd","plant_height_in"
"80","Big6_Neo_24","IL2021-24241",15.722859030664,3.26753601924402,-1.22045367991018,0.584342232369721
"81","Big6_Woo_24","OH19*102-76",15.6111174661306,0.136002926244055,NA,NA
"82","Big6_Urb_23","MI22W213",15.5413867407015,-2.48913033566321,0.801892673775311,-4.14114896732584
"83","Big6_Neo_24","19-18837",15.3972356651388,1.93381689516011,-0.32010079653456,0.241694094690489
"84","Big6_Urb_24","19-18837",15.3411872467931,1.58706914727398,-0.110180440299557,0.407739970562701
"85","Big6_Neo_24","OH20-96-116",15.2956062102852,1.43156273435396,-0.222601974687884,-1.46620700240782
"86","Big6_Neo_24","IL16LCSDH-09-T-2664-43",15.2359006810941,3.84818413062197,0.865370612093611,-0.677786666540403
"87","Big6_Neo_24","IL16LCSDH-04-T-2659-225",15.2173458153266,2.45969112778129,-1.97238989153874,-0.234343511792107
"88","Big6_Laf_23","2225",15.1127002045632,0.76838171208192,-0.410287591165479,NA
"89","Big6_Urb_23","MI21W0040",15.1039627090183,-1.21673642165666,-0.342442031400441,-2.68587645352167
"90","Big6_Woo_23","NY15150-01-01-12-1870",15.092628869778,-0.9295632815049,0.965190843100918,-0.437799480376616
"91","Big6_Prn_24","16-8048",15.0298807625739,3.58929950565012,-0.620090435633454,NA
"92","Big6_Laf_23","2239",14.9731502043563,-0.335839474223189,-0.922849817236223,NA
"93","Big6_Neo_24","IL16LCSDH-09-T-2664-28",14.9638368170335,2.9032829260725,0.891793688535921,-0.678693947277963
"94","Big6_Urb_24","IL2021-15254",14.9619520108358,4.39842664837458,-2.1753667501061,1.37533712239724
"95","Big6_Urb_24","IL2021-22113",14.941598942132,1.43423285585298,-0.693042480233545,-0.625525012396313
"96","Big6_Urb_24","19-25469",14.8937918121524,2.97940395689522,-3.29077473676998,0.792279522302956
"97","Big6_Urb_23","2208",14.8706245667387,-2.648674171929,0.884097959007932,-2.53743119726931
"98","Big6_Neo_24","IL2021-19401",14.8626971855236,0.977746768465776,-1.56178267750043,-0.402426632931727
"99","Big6_Neo_24","22PU-3081",14.8312706278869,1.1877496001132,-0.956650183056454,-2.46741661437706
"100","Big6_Fre_24","OH21-117-101",14.8272657783651,0.904554272778126,NA,NA
"101","Big6_Prn_24","OH21-117-101",14.7678211280117,2.90538559510054,-0.340581852356112,NA
"102","Big6_Woo_23","2406",14.6836927284423,-1.71122121154494,1.21896112550821,-3.63862889205868
"103","Big6_Neo_24","22PU-3157",14.6549047005348,-1.81113983243444,-0.0304832276567664,-1.70931965256492
"104","Big6_Neo_24","X15-1085-56-15-3-2",14.6420691121527,2.04660475336031,0.0354765730008256,-1.3530097699898
"105","Big6_Urb_24","X14-1006-98-19-1",14.6238532817935,3.78400045115155,1.15986197082825,2.97993780678334
"106","Big6_Neo_24","IL2021-24143",14.5881210617048,-0.124436736339265,-2.15363248020446,-1.30626111047253
"107","Big6_Urb_24","OH20-96-99",14.574841719433,-0.0671688747921946,-0.840534931840861,-0.402739134372956
"108","Big6_Prn_23","2203",14.5719641136768,0.700145879111539,1.96182314418233,1.27402687933786
"109","Big6_Urb_24","22PU-3081",14.5258630157625,2.29154137574458,-0.679213573893153,-2.54568406597783
"110","Big6_Urb_24","IL2021-44005",14.5234446828585,1.89363194707039,-2.09584989441383,-1.29062281955921
"111","Big6_Neo_24","OH21*111-93",14.5206469435496,3.09937580620371,-2.1296750805463,1.94987777772939
"112","Big6_Urb_23","21PU-0297",14.5131584111746,-2.56944880016188,-0.196979819700683,-0.0605738303882127
"113","Big6_Neo_24","IL16LCSDH-10-T-2665-41",14.4483288949043,1.97211422929226,-0.391163905309687,-4.29822892998679
"114","Big6_Urb_24","07-19334",14.4403208179547,3.94968513854173,0.735279204591249,2.00496196725364
"115","Big6_Urb_24","IL2021-24241",14.4391899710289,3.32657719097785,-1.31231914288129,0.328732835077658
"116","Big6_Urb_23","NY15150-01-01-12-1870",14.3385136681056,-1.22674815466313,0.478853165362292,-0.0189998087384452
"117","Big6_Neo_24","IL2021-41721",14.2066087892077,1.37614564956358,-5.53140245134814,-2.22833357276229
"118","Big6_Urb_24","IL2021-17859",14.2064214644112,2.82114633363236,-2.68755418588784,-2.39777563750019
"119","Big6_Neo_24","19-18826",14.1988352950746,2.17032775015802,-1.80186109535963,-1.19935598536394
"120","Big6_Neo_24","OH21-92-54",14.1965109304681,0.493061478585379,-1.71460256897365,-1.84508769395756
"121","Big6_Laf_23","X16-1023-26-19-1-8",14.1722206614392,0.846421929206571,1.50380979715373,NA
"122","Big6_Woo_23","2431",14.1665529723399,-1.75952109773437,0.634488926646342,-1.78203481822225
"123","Big6_Neo_24","19-21848",14.1461007869349,1.70574797604928,-2.87992376837504,-1.70406862017015
"124","Big6_Urb_24","19-21848",14.1433457166799,1.4046161383711,-2.63572870130803,-1.86723979502901
"125","Big6_Urb_24","22PU-1002",14.1421358260339,3.51012732676982,0.403801512867413,3.42752286921777
"126","Big6_Urb_23","MI22R057",14.1239982273408,-0.569546621842001,-0.663704726749758,-0.860928046343088
"127","Big6_Urb_24","OH21-2-32",14.1176626930148,0.956442386667799,-0.327264032283063,-3.31566767044854
"128","Big6_Fre_24","2429",14.114999527117,0.774958928969268,NA,NA
"129","Big6_Neo_24","2020-15256",14.0756933981763,1.27982449989995,-1.58821010543589,0.560545447349372
"130","Big6_Woo_23","2410",14.0531992343182,-0.789153533182244,1.34066573859399,-1.45472733759803
"131","Big6_Neo_24","22PU-1002",14.0330681740706,2.5740586867111,0.327353623041672,3.11926380531581
"132","Big6_Urb_23","2435",13.972674161979,-1.32946468306019,-0.757617132237077,-2.9697995267043
"133","Big6_Vin_23","X17-1469-116-7-1-10",13.9294250634265,-1.23778658495136,-0.541069808495448,NA
"134","Big6_Neo_24","19-21760",13.8252910526527,0.298420767691227,-1.20290736761559,-2.83238205963051
"135","Big6_Woo_24","MI22W213",13.7966341164508,-1.38178959833964,NA,NA
"136","Big6_Urb_24","IL2021-17475",13.7925211148485,1.11804728985514,-2.3313489545879,-1.17121969524605
"137","Big6_Urb_23","2406",13.7320612023204,-3.80349511351056,0.843035568669509,-3.33064444277724
"138","Big6_Prn_23","MI21W0040",13.7040520496712,0.551086598669608,-1.45381977173836,-2.61064498204047
"139","Big6_Urb_23","2427",13.6906102327153,-1.88102267642575,-0.0713522287553322,-2.44405146235773
"140","Big6_Laf_23","OH20*13-104",13.6760010650879,0.230692532843178,0.764455472665541,NA
"141","Big6_Urb_24","IL16LCSDH-10-T-2665-41",13.6660434147164,1.56207979805122,-1.028878726577,-5.19040290283483
"142","Big6_Fra_24","2402",13.6474831030816,-0.262840168312867,NA,NA
"143","Big6_Woo_24","X17-1085-17-11-1-3",13.6398054573186,0.067068343458595,NA,NA
"144","Big6_Neo_24","2020-15726",13.6285224419497,1.65698342745124,1.36176999677829,-1.40181872561998
"145","Big6_Woo_24","OH21*118-15",13.6065215360568,-0.240724141022217,NA,NA
"146","Big6_Fre_24","X15-1004-24-4-5-1",13.5960280073633,-0.641807983002001,NA,NA
"147","Big6_Prn_23","2402",13.5260857396272,-0.37107885171915,-0.605767271630045,-1.37003553381453
"148","Big6_Vin_23","22PU-3071",13.5087070279385,0.783045625784146,6.04530719010893,NA
"149","Big6_Urb_23","IL16LCSDH-06-T-2661-17",13.5036659141891,0.194391077584748,-1.12770887062171,0.327730047582413
"150","Big6_Urb_24","OH20*92-110",13.4642287315752,3.17945739645509,-1.42640048361069,4.65484781215063
"151","Big6_Woo_24","2425",13.4528512321296,-1.75180201443256,NA,NA
"152","Big6_Laf_23","21PU-0293",13.44568680458,-0.131230879685632,-1.23360015547701,NA
"153","Big6_Prn_24","OH21-117-111",13.4227817738244,1.68921699697539,0.417086426920662,NA
"154","Big6_Urb_24","2422",13.3796194708106,-0.57666616063514,1.7872762529027,-0.292545931612221
"155","Big6_Urb_23","2207",13.3731261753084,-0.805486679635513,-0.719037414427812,0.390724780047566
"156","Big6_Woo_23","2416",13.3488308354136,-0.736558717734379,1.67823505417485,-2.87523409575465
"157","Big6_Neo_24","IL2021-18457",13.3290933339032,0.713607397947625,-1.24701759437337,-0.597446110677627
"158","Big6_Urb_24","2450",13.3216348546649,-0.195864701806637,0.419765807832094,-3.93433091718998
"159","Big6_Laf_23","OH13-88-61",13.2892176785193,0.779955413736872,-0.624344651871388,NA
"160","Big6_Woo_23","NY12325-1-10-12-1476",13.2798252961823,-0.799320919469669,6.72816398849301,1.52410688867296
"161","Big6_Neo_24","IL16LCSDH-04-T-2659-3",13.2794712845388,1.66058520843014,-1.02017230866528,-1.9528176786942
"162","Big6_Woo_23","2434",13.2789038256473,-0.2746844782067,1.43047925783304,-0.871667868854825
"163","Big6_Urb_23","2244",13.2519359755744,-2.14024023488927,0.437924902968648,0.94443310288829
"164","Big6_Prn_24","X17-1078-4-20-1-7",13.247960831137,0.230652909076964,0.203555260342342,NA
"165","Big6_Neo_24","IL16LCSDH-09-T-2664-40",13.2333111063303,3.99549149043523,0.449622661945857,-0.223761877175272
"166","Big6_Neo_24","OH18-65-54",13.2292727469097,3.37882930805813,-1.33242722113414,-2.82548789244748
"167","Big6_Neo_24","IL2021-32902",13.1911210017815,1.97158362195242,-3.10697913163873,0.376303148645952
"168","Big6_Fre_24","OH21-117-111",13.1855972191416,1.1133496400114,NA,NA
