"","germplasm","predicted.value_grain_yield","predicted.value_test_weight","predicted.value_heading_time","predicted.value_plant_height","predicted.value_maturity","std.error_grain_yield","std.error_test_weight","std.error_heading_time","std.error_plant_height","std.error_maturity"
"24","OH19*102-76",88.7421349483925,56.1019810752353,128.978056640475,40.1877704036736,160.205175966835,4.8813069677769,0.739367657572797,3.73951063733938,1.59431495385307,3.27128871294207
"25","OH19-167-5",88.6568575267391,55.3037831989974,128.244511126613,36.442459790444,160.709831035986,4.87763884727861,0.73906902642494,3.73946421705878,1.59417367752619,3.27106230171721
"26","OH21-117-111",88.4949848401578,56.6655597510252,129.036480344424,34.0464025485389,158.179771973357,5.0295161577704,0.761213302128786,3.76316348667433,1.74107378152607,3.35724166573216
"27","IL16LCSDH-09-T-2664-23",88.4286607858848,58.306022632125,128.448116496995,34.9901440087248,159.01789661803,4.95487859373967,0.746497723170963,3.7449061180799,1.64477371263864,3.26941122643248
"28","IL16LCSDH-04-T-2659-3",88.4056033536299,56.6039999392655,127.282042618136,34.8221238554704,157.261386294676,4.9413496501755,0.746041063553217,3.7448378156227,1.64624570199503,3.27056400104955
"29","X15-1004-24-1-1-7",88.4013625731906,56.5515279302903,130.86540271453,38.035715572078,161.504796662904,5.17123528898962,0.779826565000275,3.74869051821306,1.67143269755005,3.57784940854741
"30","X17-1673-29-3-5-1",88.3253957160916,55.4602448827864,128.041102124034,35.1708487552801,159.013113683576,5.04743773979611,0.760988491915222,3.75520160141287,1.7447423779691,3.36245792099033
"31","IL16LCSDH-09-T-2664-36",88.1318016961936,58.9550779853274,128.42552441349,35.3283084248982,157.597957684176,4.94004855905034,0.746631543078698,3.7449316113276,1.64277774991251,3.26908212810494
"32","OH20-96-116",87.9768778118183,56.5348140384001,128.341166895036,35.2368988643385,161.232802864221,4.91089206121274,0.742381193786929,3.74124674818871,1.61232725801055,3.27106299151373
"33","IL16LCSDH-09-T-2664-24",87.9327215442682,59.1576002890254,128.232571238627,35.3190881331957,158.087134629457,4.93560408760061,0.746726536251448,3.74527114464078,1.64561250291769,3.26926068622727
"34","IL16LCSDH-09-T-2664-43",87.855642577347,59.0467109581687,128.379752452675,35.4236002446939,158.82987619037,4.94199682649283,0.746044347022787,3.7445399169957,1.64079690677202,3.26902812997665
"35","2244",87.8268280850433,55.5309194155088,128.86311579114,36.9244785017709,160.682649318915,5.1340340611248,0.776114727378514,3.74760616859763,1.66241484657425,3.52916442359844
"36","2447",87.8211255540846,56.3582479897641,128.956350974745,36.1392465509929,160.732384945893,5.03742532753458,0.763412880850302,3.75594001420184,1.75325802439044,3.35752862560953
"37","OH21-91-64",87.8068832121637,54.6705262345193,128.804044211204,31.5107463449163,161.168787962326,5.00878080584313,0.759795917586465,3.75447783171905,1.73190055013675,3.35127066470982
"38","OH21*118-15",87.7970600152481,55.0824750007385,126.494198099926,33.7437392156659,160.276940008423,5.01928839823221,0.76148374104303,3.75602672625201,1.75017785280575,3.35666055132312
"39","2208",87.6476814981315,54.9224025477317,128.990846694912,33.2292466479632,160.807902618047,5.02401677110394,0.757335135189746,3.7424689864491,1.62943087385318,3.56793275700471
"40","MI22R057",87.6280804049014,56.4295379579905,127.549675092656,35.3987227448032,160.397835212245,4.94834385999904,0.747132408157313,3.74575356984743,1.6506604626002,3.27087733442948
"41","X17-1078-4-20-1-7",87.6061698350472,55.9964686805206,128.96532361223,36.1731544412884,159.480372616346,5.04076544005717,0.762378957998623,3.75581834123206,1.75222400353186,3.35453295429061
"42","IL16LCSDH-10-T-2665-22",87.5974995521458,57.6532292393655,128.744083282325,34.4437949505236,157.354145851887,5.03081376945056,0.760318039415345,3.75539369351794,1.75100254763156,3.36020126981093
"43","2202",87.5879596631185,57.0219810579314,129.097590739211,35.2825841533027,160.494263487508,4.91157792258928,0.743720880423384,3.7407432236363,1.60990551778157,3.35452434610953
"44","21PU-0285",87.4644876418486,54.7228672838963,128.72795240893,34.9124998793254,160.162590255306,5.18892852568823,0.784586786625298,3.75089968396371,1.70894575165293,3.48217475033944
"45","2207",87.4019945933652,54.8510418870285,127.682546785705,35.9752530700484,158.712459913119,5.0226455518341,0.756501876003422,3.74248019922389,1.63060680590541,3.61234790813518
"46","X17-1096-113-1-1-2",87.3623159899155,55.7033964184229,129.267515476934,35.4266196935796,160.406021580638,5.04978841074986,0.762527928980996,3.75565546495986,1.75453096396735,3.35596973555521
"47","2450",87.2557296427354,54.7454536393789,128.31703641041,32.2224570876954,160.109802692137,5.05385832888303,0.761464977901196,3.7550297845505,1.74450501735878,3.35300363783469
"48","2410",87.2164232715147,55.2364347784583,128.474512405169,34.4524168298696,157.446125891242,5.03901809748479,0.76183853898612,3.75619046246878,1.75405637864905,3.35998392209365
"49","OH21*111-93",87.1333047814237,57.4939326633616,126.868067712216,38.6790666122551,158.298212005164,5.01282884709784,0.759733259278056,3.75606108901705,1.74471659371545,3.36569251848661
"50","X15-1085-56-15-3-2",87.0117989163889,56.8473022853331,128.178503339214,34.7672602969215,159.838866069807,4.9441917894785,0.746462587511373,3.74507552439475,1.64493672952168,3.27118464498274
"51","IL16LCSDH-09-T-2664-40",86.9700748174845,59.0615657449892,128.009395374689,36.0033724042637,158.662930459468,4.93801781746535,0.746379944620253,3.74506968999797,1.64475746215622,3.26938000378405
"52","2401",86.905142264332,56.2319909701166,130.111050620693,36.07837420131,159.98065547583,5.03836610523635,0.761610441647588,3.75567323854485,1.75612968066973,3.35967433488897
"53","OH21*117-102",86.7355059776481,55.161283971604,126.955667636152,32.8866394416635,159.862815162318,5.00670569648148,0.760921471498271,3.75601818254803,1.7542760181469,3.35725656132074
"54","IL16LCSDH-07-T-2662-202",86.7274025340058,56.4426713191863,128.219605219937,36.23689996848,159.851205478117,4.94507862246899,0.746815558382716,3.74659303466605,1.64809074246014,3.27067915013662
"55","07-19334",86.6997638919369,57.5184311203274,129.327704887125,38.2262247094091,160.68462879717,4.87977185171149,0.739241155942968,3.73928555911655,1.58830814920302,3.26032280206275
"56","2246",86.6993808734572,55.8712894616173,129.347399005141,33.0037493383319,159.996659687368,5.15798209245023,0.778604462869229,3.74811341266661,1.66806895593991,3.57886592669743
"57","OH20-96-99",86.6564412245101,55.4396510240083,128.011050402036,35.520191081705,160.983501248708,4.94387179008657,0.748867561516908,3.74301711440357,1.62251634285931,3.36019197133576
"58","OH21-15-73",86.6284663031974,56.7674451122581,128.810589742422,39.1714916622197,159.840420487798,5.02656034885203,0.762501975305698,3.7561507232998,1.75073971858082,3.36440346884542
"59","2262",86.5963435595452,55.1275592718697,127.236486990381,35.5532702830342,156.397615221137,4.95144062162963,0.749478014688176,3.743828823248,1.63244035802977,3.36437710042104
"60","IL2021-15134",86.5435775942206,57.9959864782731,126.83707354692,34.1953571832063,157.390448115061,5.03374364253529,0.761530572254042,3.75764104144484,1.76598068689799,3.3527306107661
"61","2225",86.4934747856319,57.9343727010862,129.702183999194,34.4056977889804,157.818661213775,5.15345790851526,0.775967421552541,3.74799070058725,1.66154688949728,3.64127122773968
"62","2427",86.470763996688,55.5074643541404,128.297339322644,33.7949597444284,160.683203878854,5.03423108243905,0.761013285222696,3.75548785575786,1.75370992734933,3.35933386276375
"63","21PU-0293",86.4367704287986,54.5503088554939,128.992274303968,34.619073932125,159.961916013558,4.99671390120348,0.754154022142217,3.742081579786,1.62002245334957,3.45847623373251
"64","X17-1039-68-7-1-9",86.4173589880088,57.0024568059733,127.509229867337,40.2038174927296,160.636341289281,5.03448277737416,0.761172406682202,3.75489452761908,1.73974251025579,3.35453879466567
