"","germplasm","predicted.value","std.error","status","trait"
"309","2020-16102",76.3003739510179,5.15193791931402,"Estimable","grain_yield"
"310","2020-2010",77.359176957119,5.15221823021741,"Estimable","grain_yield"
"311","2020-2101",73.7373542978595,5.1663584333873,"Estimable","grain_yield"
"312","2020-2334",78.1188742268831,5.15081446304715,"Estimable","grain_yield"
"313","2020-2749",78.9801451681484,5.16783908165095,"Estimable","grain_yield"
"314","2020-2864",78.0316380816373,5.16127286089992,"Estimable","grain_yield"
"315","2020-40034",78.5184086712272,5.16080533985449,"Estimable","grain_yield"
"316","2020-5376",85.0500786764579,4.91023869847868,"Estimable","grain_yield"
"317","2020-6205",81.5326330383244,4.95796186233331,"Estimable","grain_yield"
"318","2020-6254",78.2403086720596,5.16432781285187,"Estimable","grain_yield"
"319","2020-6435",80.3840507961049,4.96467856019054,"Estimable","grain_yield"
"320","2020-7021",80.1870051523234,5.18304649873749,"Estimable","grain_yield"
"321","2020-7719",78.6598906587171,5.14772162850727,"Estimable","grain_yield"
"322","2020-7737",78.3982484557998,5.13723712677986,"Estimable","grain_yield"
"323","2020-7917",74.6398518245021,5.15885666267457,"Estimable","grain_yield"
"324","2020-9801",79.6603339118977,5.15746233796819,"Estimable","grain_yield"
"325","2020-9945",79.1319645669713,4.97579123137858,"Estimable","grain_yield"
"326","IL2021-13707",77.3527063969048,5.04385881685318,"Estimable","grain_yield"
"327","IL2021-13713",80.8969243102,5.02276196089864,"Estimable","grain_yield"
"328","IL2021-15134",86.5435775942206,5.03374364253529,"Estimable","grain_yield"
"329","IL2021-15254",85.2150349451519,5.03085198662265,"Estimable","grain_yield"
"330","IL2021-16415",85.2192964247718,5.03328788687028,"Estimable","grain_yield"
"331","IL2021-16452",82.3529945694786,5.05423222914856,"Estimable","grain_yield"
"332","IL2021-16612",84.4345003325326,5.04066445985118,"Estimable","grain_yield"
"333","IL2021-16676",83.5943071920834,5.03986015798006,"Estimable","grain_yield"
"334","IL2021-16726",81.9590501696085,5.03814229111086,"Estimable","grain_yield"
"335","IL2021-17475",83.2481035511863,5.04081762058365,"Estimable","grain_yield"
"336","IL2021-17749",84.3056225651542,5.05824349819395,"Estimable","grain_yield"
"337","IL2021-17859",81.8140153417455,5.02427771645114,"Estimable","grain_yield"
"338","IL2021-17958",82.2961296327564,5.02503858410153,"Estimable","grain_yield"
"339","IL2021-18124",81.63498604172,5.04238584040044,"Estimable","grain_yield"
"340","IL2021-18451",85.1241506516771,5.03154364360966,"Estimable","grain_yield"
"341","IL2021-18457",85.9393107296806,5.04334432890927,"Estimable","grain_yield"
"342","IL2021-19401",86.3072675917915,5.04178539803107,"Estimable","grain_yield"
"343","IL2021-22113",81.3860865568885,5.04178977926268,"Estimable","grain_yield"
"344","IL2021-22316",90.6733728250133,4.94550243136785,"Estimable","grain_yield"
"345","IL2021-24143",82.0608093325921,5.04153860029361,"Estimable","grain_yield"
"346","IL2021-24241",80.3831921291319,5.02740385049041,"Estimable","grain_yield"
"347","IL2021-26834",84.8290393978961,5.04325475073157,"Estimable","grain_yield"
"348","IL2021-27466",82.0202846891004,5.06253773960724,"Estimable","grain_yield"
"349","IL2021-28712",85.7563808594504,5.06701471458194,"Estimable","grain_yield"
"350","IL2021-28801",84.1557609603454,5.03900478719199,"Estimable","grain_yield"
"351","IL2021-32902",85.4474652989619,5.04592884470313,"Estimable","grain_yield"
"352","IL2021-34113",79.6634826976877,5.03945977232646,"Estimable","grain_yield"
"353","IL2021-35723",80.2998474896648,5.06766603229013,"Estimable","grain_yield"
"354","IL2021-36639",84.1137191766303,5.04457648786981,"Estimable","grain_yield"
"355","IL2021-36748",80.3100871897215,5.05156033240067,"Estimable","grain_yield"
"356","IL2021-37737",76.8686456615473,5.04435650174332,"Estimable","grain_yield"
"357","IL2021-39253",86.2733678775806,5.03529085816041,"Estimable","grain_yield"
"358","IL2021-41721",82.9617342914063,5.03222601727884,"Estimable","grain_yield"
"359","IL2021-43872",83.239727515232,5.02600829003289,"Estimable","grain_yield"
"360","IL2021-44005",79.2150561383969,5.03422521214348,"Estimable","grain_yield"
"361","IL2021-46132",80.3544261469192,5.04728933787183,"Estimable","grain_yield"
"362","MI16R0720",84.6344348768063,5.02953189321196,"Estimable","grain_yield"
"363","MI17R0357",82.4990439602754,5.0236230360169,"Estimable","grain_yield"
"364","MI20R0012",89.4177828746759,4.94593118932003,"Estimable","grain_yield"
"365","MI20R0096",85.2256408123834,4.94356810769548,"Estimable","grain_yield"
