"","germplasm","grain_yield_bu_ac_Big6_Fra_23","grain_yield_bu_ac_Big6_Fra_24","grain_yield_bu_ac_Big6_Fre_23","grain_yield_bu_ac_Big6_Fre_24","grain_yield_bu_ac_Big6_Ith_23","grain_yield_bu_ac_Big6_Laf_23","grain_yield_bu_ac_Big6_Laf_24","grain_yield_bu_ac_Big6_Mas_23","grain_yield_bu_ac_Big6_Msn_24","grain_yield_bu_ac_Big6_Neo_24","grain_yield_bu_ac_Big6_Prn_23","grain_yield_bu_ac_Big6_Prn_24","grain_yield_bu_ac_Big6_Urb_23","grain_yield_bu_ac_Big6_Urb_24","grain_yield_bu_ac_Big6_Vin_23","grain_yield_bu_ac_Big6_Woo_23","grain_yield_bu_ac_Big6_Woo_24","heading_time_jd_Big6_Laf_23","heading_time_jd_Big6_Laf_24","heading_time_jd_Big6_Mas_23","heading_time_jd_Big6_Neo_24","heading_time_jd_Big6_Prn_23","heading_time_jd_Big6_Prn_24","heading_time_jd_Big6_Urb_23","heading_time_jd_Big6_Urb_24","heading_time_jd_Big6_Vin_23","heading_time_jd_Big6_Woo_23","maturity_jd_Big6_Neo_24","maturity_jd_Big6_Urb_24","plant_height_in_Big6_Laf_24","plant_height_in_Big6_Mas_23","plant_height_in_Big6_Neo_24","plant_height_in_Big6_Prn_23","plant_height_in_Big6_Urb_23","plant_height_in_Big6_Urb_24","plant_height_in_Big6_Woo_23","test_weight_lb_bu_Big6_Fra_23","test_weight_lb_bu_Big6_Fra_24","test_weight_lb_bu_Big6_Fre_23","test_weight_lb_bu_Big6_Fre_24","test_weight_lb_bu_Big6_Ith_23","test_weight_lb_bu_Big6_Laf_23","test_weight_lb_bu_Big6_Laf_24","test_weight_lb_bu_Big6_Mas_23","test_weight_lb_bu_Big6_Msn_24","test_weight_lb_bu_Big6_Neo_24","test_weight_lb_bu_Big6_Prn_23","test_weight_lb_bu_Big6_Prn_24","test_weight_lb_bu_Big6_Urb_23","test_weight_lb_bu_Big6_Urb_24","test_weight_lb_bu_Big6_Vin_23","test_weight_lb_bu_Big6_Woo_23","test_weight_lb_bu_Big6_Woo_24","YLD_mean","HD_mean","MAT_mean","PH_mean","TW_mean"
"307","X15-1085-56-15-3-11",132.613920363822,119.003742445965,137.54757319416,85.646237233972,68.0225595815628,120.348974864712,41.4472862479921,116.588537919408,111.415358546872,100.405208532184,126.914395314407,65.6153904690315,165.6607881625,103.251264312794,66.8477981463291,130.375868705768,107.141697884697,219.27025962155,127.72837077274,237.150254518611,121.110589104517,153.869495202916,126.269363407897,174.736229916971,153.096126695395,125.366426589869,218.461214941414,156.647487014652,205.641098947678,28.578387021374,53.9919602517124,88.553530922537,48.9649559983425,53.9077029613647,49.4636264331532,45.4074853221913,97.8067373438189,78.7371039028942,79.727667056789,71.0706985247686,56.4832959278081,66.8130059799441,61.5706774926816,93.556415567994,78.7291260240168,54.5509651382259,78.2776815114474,61.0180611597164,92.8941180166107,70.1964396746942,56.9442601444918,60.6208779685889,65.2496204569286,105.814505995657,165.705833077188,181.144292981165,52.6953784158107,72.0145148171423
"308","OH21-116-41",118.556768007817,154.522097886115,132.763275168342,112.031495093318,68.0225595815628,82.4173959711605,43.2849646358884,101.278803436165,136.790429661314,100.405208532184,103.432241856262,82.107903096785,120.263115203535,123.119793324125,66.8477981463291,112.876054845728,139.930484914013,163.567946315211,179.061098123938,186.420994313023,121.110589104517,120.098323614718,135.785998538375,141.234267897566,182.713697212096,125.366426589869,172.454637395898,156.647487014652,252.117354118791,31.1217056422203,42.897005345774,86.6821071689664,39.8538323465203,41.8061711275627,60.8775056971444,42.3513975881198,75.2098073341634,105.92741638075,69.5103122639417,95.503908380993,56.4832959278081,60.9036377224044,73.7020174259122,74.6157430485692,99.9675618070195,54.5509651382259,58.1354910188519,67.7873328333317,65.6620276146092,88.0396369499577,56.9442601444918,61.1192572158943,76.4004235232828,105.802964080038,152.781397910521,204.382420566722,49.3699607023297,72.968417337071
"309","2215",136.789777513801,108.09349668863,149.207602729866,87.1835108167459,68.0225595815628,125.198112813921,40.5631048119213,119.467802986703,102.034386828614,100.405208532184,130.968795128991,57.0680518880038,178.297146852832,83.757169933176,66.8477981463291,142.477972769825,102.166310876104,227.425095484075,127.72837077274,243.837073152804,121.110589104517,156.636517655695,112.997307786158,178.674884154859,138.181725990168,125.366426589869,225.244578645823,156.647487014652,183.505344087845,26.8036213882618,53.8627186349267,77.4926228874423,48.3287516651262,54.9256736648149,44.6429929215601,46.0585409045209,99.4422681141692,73.8907500204315,82.0441407671408,67.8539397195322,56.4832959278081,67.390995907943,56.7109752577504,94.0688556474821,72.4558740210449,54.5509651382259,80.2573824139702,55.676601150443,95.0575628790652,63.5622516949312,56.9442601444918,59.9439512890616,62.0157444379155,105.796988758777,165.720256933671,170.076415551249,50.3021317238076,70.491165560671
"310","2250",133.061111961082,118.220388361355,143.362501532426,87.9981518996374,68.0225595815628,112.516709382927,44.1604674722255,112.381578860075,112.764461813726,100.405208532184,128.68096291049,66.182404945468,169.109273631451,98.5746710891016,66.8477981463291,129.824473068666,104.891384064774,221.475977941085,127.72837077274,232.047291202174,121.110589104517,158.86686363585,136.458433231141,177.50195697926,159.063098748825,125.366426589869,216.546117560637,156.647487014652,207.586339181182,31.1780164503302,50.4245704879083,72.6574208298043,48.5611256591855,53.681712777452,50.6888435698512,44.2903190544908,98.0496546728079,75.6347212804601,78.0557795959869,70.7440809828231,56.4832959278081,66.841431377691,65.5778442773442,89.9177865097373,77.449584042945,54.5509651382259,80.5371220961658,66.622621078785,93.098963321885,66.8852121019719,56.9442601444918,60.6526699425901,69.9763724816343,105.706123956087,167.61651257661,182.116913097917,50.2117155470032,72.2366097043149
"311","X16-1008-42-10-3-1",133.285403476412,123.446933845687,139.916821421936,94.0351585170179,68.0225595815628,112.953845627501,42.5922337391769,114.931351347312,115.903435792813,100.405208532184,122.518210918737,67.968764221944,162.41635053815,89.2199974270178,66.8477981463291,134.425858184141,107.523503436379,219.998461803031,127.72837077274,237.447801294576,121.110589104517,153.680849779088,129.886071604517,175.107137701489,160.533757166626,125.366426589869,214.580887498106,156.647487014652,211.84185069037,30.1959666670299,54.0473906025938,68.5580080301571,48.1721685922463,55.7721156672596,51.4625718816087,46.3035593131205,100.848966085418,80.0764683498364,78.754286109865,72.6448858368279,56.4832959278081,66.282843016748,64.0720402588464,94.124400816369,80.9334020100404,54.5509651382259,75.5121055684947,66.1684333371581,93.1926884411523,67.9115987438445,56.9442601444918,60.5902764612642,68.1847809865577,105.671378514959,166.544035331456,184.244668852511,50.6445401077165,72.780923366644
"312","OH19-62-43",130.618785897815,105.546491664103,149.351016643665,79.0126430644671,95.0354524593874,118.971001868893,40.6680821479123,118.036556417637,100.77685552108,100.405208532184,130.40259350715,59.2908108029543,171.194420028542,90.3848623352589,66.8477981463291,144.009221507697,95.2650289960849,234.3539837503,127.72837077274,252.198219119508,121.110589104517,163.062275053459,117.460544654227,182.61112742737,136.935683525463,125.366426589869,238.670828171622,156.647487014652,181.269789223162,27.797866771935,54.136954368042,76.1735388312836,49.9397516337516,55.5345034804447,44.2536274035924,51.071470964863,100.478498398848,69.962979093306,89.966743144902,64.3313046057685,85.3950537355986,66.2023167311454,54.4023122820821,95.4312398640398,71.856376037988,54.5509651382259,81.2150675440333,56.8679644991298,94.6332985425682,64.999780055367,56.9442601444918,64.3695438566109,60.2238058917892,105.636284090657,169.949804816907,168.958638118907,51.272530493416,72.4606770332879
"313","IL2021-36639",118.092165091599,158.926463062673,128.687652893445,105.690568650743,68.0225595815628,90.1587184423668,42.9251129071935,102.944841011593,135.067151798336,100.405208532184,111.421271104655,75.295076199502,126.687871694245,123.413007445227,66.8477981463291,113.376658492992,127.499728529989,177.941045509761,172.764778998534,187.211334196472,121.110589104517,133.600962401985,137.057293336182,154.403764567768,181.676982507503,125.366426589869,171.205118274411,156.647487014652,247.35401630908,30.3915543182335,43.4080013305217,75.8709057399888,43.4311896884469,45.4250425227222,58.2017974910385,42.6687553810634,75.4484491411396,107.243731945414,68.8994091994309,86.1865215353456,56.4832959278081,60.70493729014,69.0018194296598,74.3001231648143,99.540775187752,54.5509651382259,62.7453283234669,67.9828769806203,70.9381870588595,91.9382254810202,56.9442601444918,60.8018714859484,68.6327780302087,105.615403152037,156.2338295487,202.000751661866,48.4853209245736,72.4907973802556
"314","X15-1073-37-1-1-1",134.973630136637,116.438217039915,140.111832384696,90.488700941669,68.0225595815628,117.835613042694,41.4430314066284,113.27962262895,109.670324708359,100.405208532184,127.386188721909,67.7288030982452,164.075683721661,96.1096422491962,66.8477981463291,135.437663059338,104.252013587739,220.967060617112,127.72837077274,235.906532672807,121.110589104517,156.982261243943,123.220347442964,175.214460540013,152.212671883035,125.366426589869,218.590219559043,156.647487014652,201.426073288585,29.0676903578119,51.9667410337119,102.398195501175,48.4926294964023,53.1751570548732,48.5603838829918,46.0153799016343,99.4903626296668,77.581840634636,79.0035270790745,70.8727145672588,56.4832959278081,67.1293692744957,61.7384465350047,91.5362068410431,77.3537097169218,54.5509651382259,79.5385960944362,61.6963795586791,92.0492816752965,65.7998841072522,56.9442601444918,60.8875145681742,66.8924572356804,105.559207822807,165.729894042604,179.036780151619,54.2394538898001,71.7381653957733
"315","2420",106.916841825041,162.921720629635,118.244200507836,119.342108602791,68.0225595815628,78.6834621008581,44.3351966242267,91.258648255818,148.465726247532,100.405208532184,104.416875314708,86.2713605924984,121.982809952836,134.431984555356,66.8477981463291,100.071096151405,141.782206981468,158.549746714899,193.646345766715,171.850365003947,121.110589104517,131.88024855069,153.297761900407,144.715199209175,200.518184520143,125.366426589869,162.967753844346,156.647487014652,273.423967436372,32.5475551495658,39.5052849120442,71.4270938844349,40.2714129603253,42.8744929672295,63.99501545439,37.99081769866,69.8334863432415,111.156416354288,63.5622923985718,94.7706924119848,56.4832959278081,55.3075613153014,79.1388272583984,67.9690697283061,108.587943446365,54.5509651382259,60.6184984144555,74.0543261921466,68.5021200924746,97.9163414606012,56.9442601444918,56.6658522373757,76.2146159398855,105.552929682476,156.390262120471,215.035727225512,46.9445247180928,73.6633273414072
"316","OH20-36-80",133.739112682866,108.0642421047,153.749702844604,94.5702943187238,68.0225595815628,111.501645804522,41.1527284564711,111.773087216646,104.574448059486,100.405208532184,124.302595900496,60.9518201473517,173.485274108431,92.9416816588475,66.8477981463291,145.206146456155,102.323375373096,217.038338145331,127.72837077274,229.830986070645,121.110589104517,149.393625809623,117.867237588523,171.566415650334,142.243995500057,125.366426589869,229.878138682869,156.647487014652,188.210352216704,28.5265525624934,51.5536163118122,97.6067893864411,48.2771840850808,53.6853020829197,47.3837176486873,49.7468638841542,94.56401845595,73.7347487108459,86.2406294668198,69.5391920339229,56.4832959278081,66.1972865860123,58.5097575339605,88.6837732374129,74.1101295162863,54.5509651382259,77.6066475803739,58.3327370284429,90.8539544977345,68.7323929154749,56.9442601444918,62.7882396445266,65.2604674948738,105.506571846616,163.202412391451,172.428919615678,53.8257179945127,70.7724997595978
"317","19-18826",140.074136401146,98.4737589771444,149.454999052742,78.9023042155175,91.0866552720391,124.034471843986,41.0272239102223,121.12855709362,92.5655570012741,100.405208532184,141.669915458037,60.0108890510256,168.418489115985,86.5905097122855,66.8477981463291,139.432966425039,93.0045398870541,237.594807649136,127.72837077274,258.750018165153,121.110589104517,174.192213329431,109.317657829496,189.235171683641,131.119933820604,125.366426589869,232.77095020225,156.647487014652,171.504969066233,27.9656372405598,57.9730218189356,111.357768503873,52.7853309555328,58.1222960301716,41.9349017893949,49.9966404064673,106.475092568272,66.1233013782809,88.0506032893473,62.0783679087372,85.2027389934686,71.2827056992568,56.1495864215554,98.8780773431783,66.6055423266294,54.5509651382259,83.7671092366742,57.2282228680091,101.081983944312,61.2966531609103,56.9442601444918,63.4319208839692,61.0972349962528,105.478116476214,170.718613914684,164.076228040443,57.1622281064192,72.9555509589159
"318","2409",111.132382661508,152.374390034622,121.08796874817,105.989953320714,68.0225595815628,85.4723287212233,44.7355762529123,96.9895782264977,146.961310687587,100.405208532184,110.219917472821,90.2507477452129,131.528223999313,117.257153414533,66.8477981463291,107.520151845835,135.768338589526,164.426650543594,189.694128394023,174.884738723223,121.110589104517,128.66227662387,148.179496155865,151.194414116796,198.095572480675,125.366426589869,159.934479454536,156.647487014652,270.739290032346,32.7378386193168,39.8405895189675,93.1669274028033,42.4021923591365,45.0145691267131,63.8510244078398,38.8179041064696,70.2338696308908,96.7006852360163,61.8941611371049,90.6618723003957,56.4832959278081,56.6147422121235,78.5073725655763,69.3793339126638,106.663046925236,54.5509651382259,62.1245630485975,70.9254825558468,70.7539254020555,90.3044624637587,56.9442601444918,58.4943300807216,74.1916556692742,105.444916940032,156.154877218697,213.693388523499,50.8330065058924,72.0840014323992
"319","2411",105.374772158796,171.033253327941,114.977145045452,123.043283367678,68.0225595815628,77.4471125018628,46.2752942106793,92.1371605423354,154.785568625757,100.405208532184,102.221477437583,86.3381770981136,113.782147577176,127.359438735685,66.8477981463291,99.1528458225442,143.075008504426,149.116291503725,198.258698079799,165.32627047696,121.110589104517,111.308008805225,156.067539579498,141.296929002124,209.813224623348,125.366426589869,147.649656448668,156.647487014652,283.843480298698,33.6873182093087,38.2199167554158,55.4168302641052,40.3371868156264,41.0421556332996,66.6615739398724,37.3030732417761,65.8464929697374,112.152237588228,59.0395520193099,96.5142436314585,56.4832959278081,54.4887621920677,82.5680473929622,66.0705445188357,110.257699601594,54.5509651382259,57.4671136356763,76.9646359646297,63.6992621097489,92.0423909467776,56.9442601444918,56.9723343082753,80.136133204709,105.428132424477,152.531363421373,220.245483656675,44.6668649799149,73.0704688996786
"320","X15-1073-34-20-5-7",138.889166682808,111.264799952055,141.586043379589,80.834294243625,68.0225595815628,123.153174490313,40.976507100193,123.123181724392,104.338736372498,100.405208532184,135.679540886389,65.2274654849329,164.970245548859,91.8333752467587,66.8477981463291,134.86236593726,98.6122444927353,230.584266798911,127.72837077274,249.928326427662,121.110589104517,165.502383563328,117.420530520579,184.51594566108,144.330515543415,125.366426589869,223.794827578213,156.647487014652,191.704291555963,28.3569862723998,59.6667790106882,87.701174186775,51.3078267998629,57.1217689267242,46.7633959398183,48.8886615866797,102.74355576473,71.8721280744364,82.4082061170853,66.6612889298536,56.4832959278081,70.7680978944922,59.2912310692241,98.9038906092188,73.5212006186016,54.5509651382259,82.0162283753329,59.3755820676352,97.0229034069003,65.8421067094793,56.9442601444918,61.7105641809501,64.5818957502982,105.330982811911,169.028218256032,174.175889285308,54.2580846747069,72.0410235752214
"321","19-15017",158.225938158814,89.4796770601722,168.124057329977,65.9818200286966,68.0225595815628,130.497145210946,38.0110781505152,134.656147435228,77.6110827130929,100.405208532184,149.373495097241,47.5733440437088,185.114960732002,78.6625318617293,66.8477981463291,153.503372407585,77.6427083048449,250.387646131177,127.72837077274,274.98997412881,121.110589104517,184.467731127001,99.8499232970834,210.434185873999,123.934454251701,125.366426589869,252.458627414716,156.647487014652,168.268815189598,25.4930486580597,62.8701152492469,82.816570034889,58.1017757065305,65.6785261254256,40.1335243427943,54.7696291273823,114.551876872885,60.2859343087059,95.3100783208141,53.6646490055472,56.4832959278081,79.3914920159936,47.0568133095586,108.731834156021,55.2684009542596,54.5509651382259,93.4463270326285,48.3741901492681,109.337036203389,57.3007713023491,56.9442601444918,66.1333892667631,51.3829621179372,105.27840734086,177.072792869161,162.458151102125,55.6947413206183,71.0714280133321
